scenario,variant,run,router_power,ed_power,log_path,active_parent_router_id,active_parent_tx_power,standby_router_tx_power,output_power_dbm,attach_count,detach_count,detach_to_child_windows,detach_to_child_median_ms,detach_to_child_max_ms,initial_attach_ms,standby_yes,standby_no,diag_lines,callback_registered,preferred_requests,generic_requests,parent_response_security_warnings,preferred_success,preferred_miss,preferred_timeout,final_state,final_outcome,final_failovers,standby_discovered,targeted_attach_requested,targeted_outcome_success,targeted_outcome_miss,targeted_outcome_timeout,generic_fallback_used,failover_trigger_to_stable_child_ms,final_parent_after_recovery,natural_parent_switch
active-parent-ramp-down,A,011,-15dB,8dB,artifacts/milestone-8/active-parent-ramp-down/A/run-011-router--15dB-ed-8dB.log,P1,-15dB,8dB,8dBm,1,0,0,,,594,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,no
active-parent-ramp-down,A,012,-15dB,8dB,artifacts/milestone-8/active-parent-ramp-down/A/run-012-router--15dB-ed-8dB.log,P1,-15dB,8dB,8dBm,1,0,0,,,594,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,no
active-parent-ramp-down,A,013,ramp,8dB,artifacts/milestone-8/active-parent-ramp-down/A/run-013-router-ramp-ed-8dB.log,P1,8dB -> 4dB -> 0dB -> -4dB -> -8dB -> -12dB -> -15dB,8dB,8dBm,1,0,0,,,588,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,no
active-parent-ramp-down,A,014,ramp,8dB,artifacts/milestone-8/active-parent-ramp-down/A/run-014-router-ramp-ed-8dB.log,P1,8dB -> 4dB -> 0dB -> -4dB -> -8dB -> -12dB -> -15dB,8dB,8dBm,1,0,0,,,595,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,no
active-parent-ramp-down,A,015,ramp,8dB,artifacts/milestone-8/active-parent-ramp-down/A/run-015-router-ramp-ed-8dB.log,P1,8dB -> 4dB -> 0dB -> -4dB -> -8dB -> -12dB -> -15dB,8dB,8dBm,1,0,0,,,606,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,no
active-parent-ramp-down,A,016,ramp,8dB,artifacts/milestone-8/active-parent-ramp-down/A/run-016-router-ramp-ed-8dB.log,P1,8dB -> 4dB -> 0dB -> -4dB -> -8dB -> -12dB -> -15dB,8dB,8dBm,1,0,0,,,608,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,no
active-parent-ramp-down,A,017,ramp,8dB,artifacts/milestone-8/active-parent-ramp-down/A/run-017-router-ramp-ed-8dB.log,P1,8dB -> 4dB -> 0dB -> -4dB -> -8dB -> -12dB -> -13dB -> -14dB -> -15dB -> off,8dB,8dBm,1,0,0,,,624,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,no
active-parent-ramp-down,A,018,ramp,8dB,artifacts/milestone-8/active-parent-ramp-down/A/run-018-router-ramp-ed-8dB.log,P1,8dB -> 4dB -> 0dB -> -4dB -> -8dB -> -12dB -> -13dB -> -14dB -> -15dB -> off,8dB,8dBm,1,0,0,,,608,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,no
active-parent-ramp-down,A,019,ramp,8dB,artifacts/milestone-8/active-parent-ramp-down/A/run-019-router-ramp-ed-8dB.log,P1,8dB -> 4dB -> 0dB -> -4dB -> -8dB -> -12dB -> -13dB -> -14dB -> -15dB -> off,8dB,8dBm,1,0,0,,,591,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,no
active-parent-ramp-down,A,020,ramp,8dB,artifacts/milestone-8/active-parent-ramp-down/A/run-020-router-ramp-ed-8dB.log,P1,8dB -> 4dB -> 0dB -> -4dB -> -8dB -> -12dB -> -13dB -> -14dB -> -15dB -> off,8dB,8dBm,1,0,0,,,598,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,no
active-parent-ramp-down,B,001,4dB,8dB,artifacts/milestone-8/active-parent-ramp-down/B/run-001-router-4dB-ed-8dB.log,P1,4dB,8dB,8dBm,2,1,1,2018,2018,595,6,13,19,1,0,1,0,0,0,0,3,none,1,yes,0,0,0,0,1,2029,0xe000,no
active-parent-ramp-down,B,002,4dB,8dB,artifacts/milestone-8/active-parent-ramp-down/B/run-002-router-4dB-ed-8dB.log,P1,4dB,8dB,8dBm,2,1,1,3703,3703,566,3,15,18,1,0,1,0,0,0,0,3,none,1,yes,0,0,0,0,1,3714,0xe000,no
active-parent-ramp-down,B,003,0dB,8dB,artifacts/milestone-8/active-parent-ramp-down/B/run-003-router-0dB-ed-8dB.log,P1,0dB,8dB,8dBm,2,1,1,3200,3200,596,2,17,19,1,0,1,0,0,0,0,8,none,1,yes,0,0,0,0,1,3211,0xe000,no
active-parent-ramp-down,B,004,-4dB,8dB,artifacts/milestone-8/active-parent-ramp-down/B/run-004-router--4dB-ed-8dB.log,P1,-4dB,8dB,8dBm,4,3,3,5643,8570,588,36,12,48,1,0,1,0,1,1,0,3,success,3,yes,2,1,2,0,1,8581,0x1800,yes
active-parent-ramp-down,B,005,-4dB,8dB,artifacts/milestone-8/active-parent-ramp-down/B/run-005-router--4dB-ed-8dB.log,P1,-4dB,8dB,8dBm,5,5,4,3694,5442,564,36,15,51,1,0,1,0,1,1,1,6,success,3,yes,3,1,2,0,1,4445,0x1800,yes
active-parent-ramp-down,B,006,-4dB,8dB,artifacts/milestone-8/active-parent-ramp-down/B/run-006-router--4dB-ed-8dB.log,P1,-4dB,8dB,8dBm,6,5,5,1541,3148,598,38,13,51,1,0,1,0,2,1,0,8,success,4,yes,3,2,2,0,1,1552,0xe000,yes
active-parent-ramp-down,B,007,-8dB,8dB,artifacts/milestone-8/active-parent-ramp-down/B/run-007-router--8dB-ed-8dB.log,P1,-8dB,8dB,8dBm,4,3,3,1510,1720,598,36,9,45,1,0,1,0,2,0,0,3,success,3,yes,2,2,0,0,1,1521,0xe000,yes
active-parent-ramp-down,B,008,-8dB,8dB,artifacts/milestone-8/active-parent-ramp-down/B/run-008-router--8dB-ed-8dB.log,P1,-8dB,8dB,8dBm,3,2,2,3708,6157,560,28,17,45,1,0,1,0,0,1,0,2,miss,2,yes,1,0,2,0,1,6168,0xe000,no
active-parent-ramp-down,B,009,-12dB,8dB,artifacts/milestone-8/active-parent-ramp-down/B/run-009-router--12dB-ed-8dB.log,P1,-12dB,8dB,8dBm,6,5,5,2093,2957,599,39,13,52,1,0,1,0,2,1,0,3,miss,4,yes,3,2,2,0,1,2968,0xe000,yes
active-parent-ramp-down,B,010,-12dB,8dB,artifacts/milestone-8/active-parent-ramp-down/B/run-010-router--12dB-ed-8dB.log,P1,-12dB,8dB,8dBm,6,5,5,2283,7340,566,45,11,56,1,0,1,0,2,1,0,8,miss,4,yes,3,2,2,0,1,3279,0xe000,yes
active-parent-ramp-down,B,011,-15dB,8dB,artifacts/milestone-8/active-parent-ramp-down/B/run-011-router--15dB-ed-8dB.log,P1,-15dB,8dB,8dBm,5,4,4,2150,8727,596,36,13,49,1,0,1,0,1,1,0,3,success,3,yes,2,1,2,0,1,2595,0x1800,yes
active-parent-ramp-down,B,012,-15dB,8dB,artifacts/milestone-8/active-parent-ramp-down/B/run-012-router--15dB-ed-8dB.log,P1,-15dB,8dB,8dBm,5,4,4,1695,3249,599,34,16,50,1,0,1,0,1,1,0,3,success,3,yes,2,1,2,0,1,1315,0x1800,yes
active-parent-ramp-down,B,013,ramp,8dB,artifacts/milestone-8/active-parent-ramp-down/B/run-013-router-ramp-ed-8dB.log,P1,8dB -> 4dB -> 0dB -> -4dB -> -8dB -> -12dB -> -15dB,8dB,8dBm,7,6,6,1770,7593,598,50,12,62,1,0,1,0,1,2,0,3,miss,4,yes,3,1,4,0,1,2529,0xe000,yes
active-parent-ramp-down,B,014,ramp,8dB,artifacts/milestone-8/active-parent-ramp-down/B/run-014-router-ramp-ed-8dB.log,P1,8dB -> 4dB -> 0dB -> -4dB -> -8dB -> -12dB -> -15dB,8dB,8dBm,6,5,5,1175,4347,564,43,13,56,1,0,2,0,1,1,0,3,miss,4,yes,2,1,2,0,2,1486,0xe000,yes
active-parent-ramp-down,B,015,ramp,8dB,artifacts/milestone-8/active-parent-ramp-down/B/run-015-router-ramp-ed-8dB.log,P1,8dB -> 4dB -> 0dB -> -4dB -> -8dB -> -12dB -> -15dB,8dB,8dBm,6,5,5,1387,4518,603,50,27,77,1,0,2,1,2,1,0,2,miss,5,yes,3,2,2,0,2,1398,0xe000,yes
active-parent-ramp-down,B,016,ramp,8dB,artifacts/milestone-8/active-parent-ramp-down/B/run-016-router-ramp-ed-8dB.log,P1,8dB -> 4dB -> 0dB -> -4dB -> -8dB -> -12dB -> -15dB,8dB,8dBm,6,6,5,2987,7197,591,65,16,81,1,0,1,0,2,2,1,6,success,5,yes,5,2,0,4,1,1215,0xe000,yes
active-parent-ramp-down,B,017,ramp,8dB,artifacts/milestone-8/active-parent-ramp-down/B/run-017-router-ramp-ed-8dB.log,P1,8dB -> 4dB -> 0dB -> -4dB -> -8dB -> -12dB -> -13dB -> -14dB -> -15dB -> off,8dB,8dBm,10,9,9,44,3757,563,97,12,109,1,0,1,0,8,0,0,3,success,9,yes,8,8,0,0,1,3768,0xe000,yes
active-parent-ramp-down,B,018,ramp,8dB,artifacts/milestone-8/active-parent-ramp-down/B/run-018-router-ramp-ed-8dB.log,P1,8dB -> 4dB -> 0dB -> -4dB -> -8dB -> -12dB -> -13dB -> -14dB -> -15dB -> off,8dB,8dBm,8,7,7,1257,6772,566,82,27,109,1,0,2,1,2,3,0,5,miss,7,yes,5,2,6,0,2,4715,0xe000,yes
active-parent-ramp-down,B,019,ramp,8dB,artifacts/milestone-8/active-parent-ramp-down/B/run-019-router-ramp-ed-8dB.log,P1,8dB -> 4dB -> 0dB -> -4dB -> -8dB -> -12dB -> -13dB -> -14dB -> -15dB -> off,8dB,8dBm,9,8,8,44,6040,556,98,10,108,1,0,1,0,6,1,0,3,success,8,yes,7,6,2,0,1,4313,0xe000,yes
active-parent-ramp-down,B,020,ramp,8dB,artifacts/milestone-8/active-parent-ramp-down/B/run-020-router-ramp-ed-8dB.log,P1,8dB -> 4dB -> 0dB -> -4dB -> -8dB -> -12dB -> -13dB -> -14dB -> -15dB -> off,8dB,8dBm,8,7,7,44,1693,611,94,15,109,1,0,1,1,5,1,0,2,success,7,yes,6,5,2,0,1,1704,0x1800,yes
clean-reflash,B,001,8dB,8dB,artifacts/milestone-8/clean-reflash/B/run-001-router-8dB-ed-8dB.log,,,,8dBm,1,0,0,,,1881,0,31,31,0,0,0,0,0,0,0,2,none,0,no,0,0,0,0,0,,0xe000,no
downlink-only,A,001,-4dB,8dB,artifacts/milestone-8/downlink-only/A/run-001-router--4dB-ed-8dB.log,,,,8dBm,1,0,0,,,668,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,no
downlink-only,A,002,-4dB,8dB,artifacts/milestone-8/downlink-only/A/run-002-router--4dB-ed-8dB.log,,,,8dBm,1,0,0,,,628,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,no
downlink-only,A,003,-4dB,8dB,artifacts/milestone-8/downlink-only/A/run-003-router--4dB-ed-8dB.log,,,,8dBm,1,0,0,,,621,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,no
downlink-only,A,004,-4dB,8dB,artifacts/milestone-8/downlink-only/A/run-004-router--4dB-ed-8dB.log,,,,8dBm,1,0,0,,,630,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,no
downlink-only,B,001,-4dB,8dB,artifacts/milestone-8/downlink-only/B/run-001-router--4dB-ed-8dB.log,,,,8dBm,6,5,5,1095,1719,671,36,14,50,1,2,1,3,0,2,0,3,miss,3,yes,0,0,0,0,1,1730,0xe000,no
downlink-only,B,002,-4dB,8dB,artifacts/milestone-8/downlink-only/B/run-002-router--4dB-ed-8dB.log,,,,8dBm,4,3,3,1101,3320,597,22,13,35,1,1,1,1,0,1,0,3,miss,2,yes,0,0,0,0,1,3331,0xe000,no
downlink-only,B,003,-4dB,8dB,artifacts/milestone-8/downlink-only/B/run-003-router--4dB-ed-8dB.log,,,,8dBm,4,3,3,1118,1217,630,22,12,34,1,1,1,0,0,1,0,3,miss,2,yes,0,0,0,0,1,1048,0xe000,no
downlink-only,B,004,-4dB,8dB,artifacts/milestone-8/downlink-only/B/run-004-router--4dB-ed-8dB.log,,,,8dBm,3,2,2,2720,4098,632,19,13,32,1,0,2,0,0,0,0,3,none,2,yes,0,0,0,0,2,1355,0xe000,no
neighbor-diagnostics,B,001,8dB,8dB,artifacts/milestone-8/neighbor-diagnostics/B/run-001-router-8dB-ed-8dB.log,,,,8dBm,3,2,2,4391,5496,610,0,24,24,0,0,2,0,0,0,0,8,none,2,no,0,0,0,0,2,3297,0xe000,no
nominal-callback-baseline,A,001,8dB,8dB,artifacts/milestone-8/nominal-callback-baseline/A/run-001-router-8dB-ed-8dB.log,,,,8dBm,1,0,0,,,669,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,no
nominal-callback-baseline,A,002,8dB,8dB,artifacts/milestone-8/nominal-callback-baseline/A/run-002-router-8dB-ed-8dB.log,,,,8dBm,1,0,0,,,631,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,no
nominal-callback-baseline,A,003,8dB,8dB,artifacts/milestone-8/nominal-callback-baseline/A/run-003-router-8dB-ed-8dB.log,,,,8dBm,1,0,0,,,637,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,no
nominal-callback-baseline,A,004,8dB,8dB,artifacts/milestone-8/nominal-callback-baseline/A/run-004-router-8dB-ed-8dB.log,,,,8dBm,1,0,0,,,642,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,no
nominal-callback-baseline,A,005,8dB,8dB,artifacts/milestone-8/nominal-callback-baseline/A/run-005-router-8dB-ed-8dB.log,,,,8dBm,1,0,0,,,632,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,no
nominal-callback-baseline,A,006,8dB,8dB,artifacts/milestone-8/nominal-callback-baseline/A/run-006-router-8dB-ed-8dB.log,,,,8dBm,1,0,0,,,643,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,no
nominal-callback-baseline,A,007,8dB,8dB,artifacts/milestone-8/nominal-callback-baseline/A/run-007-router-8dB-ed-8dB.log,,,,8dBm,1,0,0,,,620,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,no
